Impacket v0.14.0.dev0 - Copyright Fortra, LLC and its affiliated companies 

[*] Querying 192.168.56.11 for information about domain.
Name                  Email                           PasswordLastSet      LastLogon           
--------------------  ------------------------------  -------------------  -------------------
Administrator                                         2026-05-11 18:23:26.916353  2026-05-11 19:06:05.170824 
Guest                                                 <never>              <never>             
vagrant                                               2021-05-12 13:38:55.922520  2026-05-11 19:24:48.496909 
krbtgt                                                2026-05-11 18:35:39.483696  <never>             
                                                      2026-05-11 18:45:39.225438  <never>             
arya.stark                                            2026-05-11 18:51:16.778447  <never>             
eddard.stark                                          2026-05-11 18:51:19.606362  2026-05-13 12:34:37.327111 
catelyn.stark                                         2026-05-11 18:51:22.293669  <never>             
robb.stark                                            2026-05-11 18:51:24.918815  2026-05-13 12:34:41.594735 
sansa.stark                                           2026-05-11 18:51:27.528374  <never>             
brandon.stark                                         2026-05-11 18:51:30.168633  2026-05-13 11:17:30.113265 
rickon.stark                                          2026-05-11 18:51:32.824718  <never>             
hodor                                                 2026-05-11 18:51:35.418826  <never>             
jon.snow                                              2026-05-11 18:51:38.012367  <never>             
samwell.tarly                                         2026-05-11 18:51:40.731545  2026-05-13 11:17:16.629239 
jeor.mormont                                          2026-05-11 18:51:43.340360  <never>             
sql_svc                                               2026-05-11 18:51:45.887483  2026-05-13 06:27:33.539510 
